Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Alexandre Lacazette,9,Arsenal,Forward,France,29,99,46,28,39,0.39,4,30,5,2,1,204,93,46.00%,4,31,0.31,0,0,0,92,0,0,44,30,49,35,0,0,0,0,0,0,0,0,0,0,16,0.16,2045,20.66,15,0.15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,127,62
Pierre-Emerick Aubameyang,14,Arsenal,Forward,Gabon,31,87,43,25,55,0.63,3,44,8,7,1,222,105,47.00%,8,39,0.45,0,0,0,58,0,0,52,25,38,12,0,0,0,0,0,0,0,0,0,0,13,0.15,1880,21.61,17,0.2,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,30,55
Nicolas Pépé,19,Arsenal,Forward,Cote D'Ivoire,25,33,15,9,5,0.15,0,0,5,1,0,51,18,35.00%,3,2,0.06,0,0,0,32,0,0,14,8,4,2,0,0,0,0,0,0,0,0,0,0,6,0.18,723,21.91,8,0.24,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,4
Reiss Nelson,24,Arsenal,Forward,England,20,20,10,5,1,0.05,0,1,0,0,0,13,4,31.00%,0,0,0,0,0,0,15,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,286,14.3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4
Eddie Nketiah,30,Arsenal,Forward,England,21,23,12,8,4,0.17,0,2,2,0,0,20,8,40.00%,4,3,0.13,0,0,0,9,0,0,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,172,7.48,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,5
Gabriel Martinelli,35,Arsenal,Forward,Brazil,19,14,3,3,3,0.21,0,3,0,0,0,12,5,42.00%,0,1,0.07,0,0,0,20,75%,0,2,3,5,4,0,34,46,92,9,0.64,8,37,0,0,0,0,116,8.29,0,0,22,22%,1,2,0.14,0,0,0,0,0,0,0,0,0,0,1,0,9,2
Willian,12,Arsenal,Forward,Brazil,32,236,137,47,37,0.16,1,33,3,5,4,393,145,37.00%,15,20,0.08,0,0,0,246,0,0,111,100,54,24,0,0,0,0,0,0,0,0,0,0,35,0.15,8290,35.13,51,0.22,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,131,33
Wesley,9,Aston-Villa,Forward,Brazil,23,21,6,12,5,0.24,0,5,0,0,0,35,18,51.00%,1,5,0.24,0,0,0,15,0,0,8,4,23,18,0,0,0,0,0,0,0,0,0,0,1,0.05,367,17.48,1,0.05,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,43,14
Keinan Davis,39,Aston-Villa,Forward,England,22,19,4,9,0,19,0,0,0,0,0,17,5,29.00%,0,3,0.16,0,0,0,1,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,149,7.84,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
Ollie Watkins,11,Aston-Villa,Forward,England,24,1,1,0,0,1,0,0,0,0,0,3,0,3.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Bertrand Traoré,0,Aston-Villa,Forward,Burkina Faso,25,10,2,4,2,0.2,0,0,2,0,0,17,6,35.00%,0,0,0,0,0,0,9,0,0,7,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0.1,136,13.6,1,0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Leandro Trossard,11,Brighton-and-Hove-Albion,Forward,Belgium,25,33,7,14,6,0.18,0,3,3,0,0,45,14,31.00%,3,8,0.24,0,0,0,23,0,0,8,11,6,2,0,0,0,0,0,0,0,0,0,0,4,0.12,772,23.39,7,0.21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4
Neal Maupay,9,Brighton-and-Hove-Albion,Forward,France,24,39,10,16,12,0.31,3,3,6,2,0,101,41,41.00%,1,11,0.28,0,0,0,21,0,0,31,5,9,3,0,0,0,0,0,0,0,0,0,0,4,0.1,710,18.21,3,0.08,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,15
Alireza Jahanbakhsh,16,Brighton-and-Hove-Albion,Forward,Iran,27,31,8,16,2,0.06,0,2,0,0,0,34,8,24.00%,2,0,0,0,0,0,41,0,0,10,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,401,12.94,2,0.06,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,7
José Izquierdo,19,Brighton-and-Hove-Albion,Forward,Colombia,28,47,13,19,5,0.11,0,5,0,0,0,67,19,28.00%,0,3,0.06,0,0,0,38,0,0,19,21,32,11,0,0,0,0,0,0,0,0,0,0,4,0.09,728,15.49,4,0.09,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,18
Aaron Connolly,7,Brighton-and-Hove-Albion,Forward,Ireland,20,26,8,12,4,0.15,0,4,0,0,0,43,16,37.00%,0,5,0.19,0,0,0,8,0,0,14,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0.04,161,6.19,1,0.04,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16
Florin Andone,21,Brighton-and-Hove-Albion,Forward,Romania,27,26,5,14,4,0.15,2,2,0,0,0,20,9,45.00%,0,3,0.12,0,0,0,11,0,0,6,3,13,6,0,0,0,0,0,0,0,0,0,0,0,0,177,6.81,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,30,4
Viktor Gyökeres,42,Brighton-and-Hove-Albion,Forward,Sweden,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Wood,9,Burnley,Forward,New Zealand,28,105,35,43,36,0.34,14,14,8,1,0,172,81,47.00%,7,36,0.34,0,0,0,28,0,0,22,7,62,44,0,0,0,0,0,0,0,0,0,0,4,0.04,1535,14.62,8,0.08,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,84,117
Ashley Barnes,10,Burnley,Forward,England,30,155,45,71,38,0.25,5,29,4,5,0,276,104,38.00%,6,28,0.18,0,0,0,103,0,0,53,33,111,72,0,0,0,0,0,0,0,0,0,0,6,0.04,2475,15.97,11,0.07,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,269,92
Jay Rodriguez,19,Burnley,Forward,England,31,178,53,71,41,0.23,8,25,7,2,0,378,140,37.00%,10,35,0.2,0,0,0,154,0,0,87,82,113,78,0,0,0,0,0,0,0,0,0,0,12,0.07,2835,15.93,14,0.08,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,156,99
Matej Vydra,27,Burnley,Forward,Czech Republic,28,57,11,30,6,0.11,0,5,1,0,0,37,20,54.00%,1,10,0.18,0,0,0,10,0,0,5,5,13,7,0,0,0,0,0,0,0,0,0,0,5,0.09,359,6.3,4,0.07,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10
