Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Bernd Leno,1,Arsenal,Goalkeeper,Germany,28,64,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1783,27.86,0,0,0,0,0,234,3.66,222,3.47,1,0.02,34,26,17,28,375,489,2,0,0,0
Matt Macey,33,Arsenal,Goalkeeper,England,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runar Alex Runarsson,13,Arsenal,Goalkeeper,Iceland,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Heaton,1,Aston-Villa,Goalkeeper,England,34,116,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,28,167,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3290,28.36,0,0,0,0,0,1067,9.2,408,3.52,3,0.03,40,96,73,53,436,1023,5,0,2,0
Jed Steer,12,Aston-Villa,Goalkeeper,England,28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,6,3,2,1,0,0,0,1,0,2,8,5,0,0,0,0
Orjan Nyland,25,Aston-Villa,Goalkeeper,Norway,30,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,21.71,0,0,0,0,0,35,5,15,2.14,0,0,1,3,2,0,29,53,0,0,0,0
Lovre Kalinic,28,Aston-Villa,Goalkeeper,Croatia,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,26,Aston-Villa,Goalkeeper,Argentina,28,16,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,24.81,0,0,0,0,0,62,3.88,44,2.75,1,0.06,2,22,6,4,86,103,2,0,1,0
Mat Ryan,1,Brighton-and-Hove-Albion,Goalkeeper,Australia,28,112,27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,26,166,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3272,29.21,0,0,0,0,0,964,8.61,340,3.04,2,0.02,32,68,17,15,491,956,2,0,2,0
Jason Steele,23,Brighton-and-Hove-Albion,Goalkeeper,England,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
