Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Mesut Ozil,10,Arsenal,Midfielder,Germany,31,184,100,39,33,0.18,4,4,25,0,1,205,92,45%,7,26,0.14,0,0,0,161,68%,0,58,75,37,13,0,778,625,744,248,1.35,28,83,0,2,54,0.29,11186,60.79,65,0.35,834,35%,121,276,1.5,0,0,0,0,0,0,0,0,0,0,13,0,95,83
Lucas Torreira,11,Arsenal,Midfielder,Uruguay,24,63,28,15,3,0.05,0,3,0,0,0,46,12,26%,1,1,0.02,0,0,0,96,57%,0,10,75,53,22,0,327,276,212,30,0.48,32,47,0,0,3,0.05,2493,39.57,3,0.05,40,28%,4,94,1.49,0,0,0,0,0,0,0,0,0,0,14,1,62,0
Ainsley Maitland-Niles,15,Arsenal,Midfielder,England,23,54,26,16,1,0.02,0,1,0,0,0,14,4,29%,1,1,0.02,0,0,0,101,62%,0,3,62,66,29,0,223,218,207,58,1.07,29,38,0,0,3,0.06,1867,34.57,4,0.07,57,21%,2,74,1.37,0,0,0,0,0,0,0,0,0,0,6,2,35,1
Mohamed Elneny,25,Arsenal,Midfielder,Egypt,28,47,29,10,0,47,0,0,0,0,0,44,5,11%,0,2,0.04,0,0,0,57,54%,0,22,41,41,15,0,211,109,107,11,0.23,18,34,0,0,3,0.06,2532,53.87,2,0.04,30,13%,4,83,1.77,0,0,0,0,0,0,0,0,0,0,7,1,24,2
Joseph Willock,28,Arsenal,Midfielder,England,21,33,12,12,1,0.03,0,1,0,0,0,18,5,28%,0,2,0.06,0,0,0,30,60%,0,4,6,10,4,0,64,75,76,21,0.64,9,18,0,0,1,0.03,398,12.06,1,0.03,9,22%,3,15,0.45,0,0,0,0,0,0,0,0,0,0,2,0,13,0
Matteo Guendouzi,29,Arsenal,Midfielder,France,21,57,24,17,0,57,0,0,0,0,0,27,9,33%,1,1,0.02,0,0,0,75,56%,0,11,59,58,29,0,284,263,217,47,0.82,31,40,0,1,1,0.02,2750,48.25,4,0.07,21,10%,16,148,2.6,0,0,0,0,0,0,0,0,0,0,15,0,41,0
Emile Smith Rowe,32,Arsenal,Midfielder,England,20,2,0,1,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,100%,0,0,1,2,2,0,5,4,4,2,1,0,0,0,0,0,0,35,17.5,0,0,1,1%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,34,Arsenal,Midfielder,Switzerland,27,132,70,33,8,0.06,0,0,8,0,2,144,41,28%,2,1,0.01,0,0,0,254,66%,0,40,133,208,129,0,885,650,607,69,0.52,181,173,0,7,13,0.1,9739,73.78,12,0.09,274,25%,35,673,5.1,0,0,0,0,0,0,0,0,0,0,35,2,196,2
Bukayo Saka,7,Arsenal,Midfielder,England,19,28,11,7,1,0.04,0,0,1,0,0,15,4,27%,1,1,0.04,0,0,0,36,0,0,5,12,12,7,0,0,0,0,0,0,0,0,0,0,5,0.18,716,25.57,6,0.21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,13
Dani Ceballos,8,Arsenal,Midfielder,Spain,24,26,14,6,0,26,0,0,0,0,0,14,3,21%,0,0,0,0,0,0,49,51%,0,6,37,14,9,0,163,127,129,30,1.15,12,26,0,0,3,0.12,1372,52.77,2,0.08,71,14%,7,81,3.12,0,0,0,0,0,0,0,0,0,0,1,0,21,0
Douglas Luiz,6,Aston-Villa,Midfielder,Brazil,22,37,10,20,3,0.08,0,2,1,0,0,41,13,32%,0,2,0.05,0,0,0,46,52%,0,17,36,47,18,0,211,150,163,36,0.97,31,36,0,1,2,0.05,1300,35.14,3,0.08,25,24%,4,100,2.7,0,0,0,0,0,0,0,0,0,0,8,0,51,0
John McGinn,7,Aston-Villa,Midfielder,Scotland,25,29,7,15,3,0.1,0,0,3,0,0,57,20,35%,2,4,0.14,0,0,0,53,66%,0,12,26,15,6,0,157,193,185,53,1.83,19,35,0,0,3,0.1,759,26.17,3,0.1,67,21%,3,85,2.93,0,0,0,0,0,0,0,0,0,0,4,0,38,0
Henri Lansbury,8,Aston-Villa,Midfielder,England,29,13,4,8,0,13,0,0,0,0,0,3,0,3%,0,0,0,0,0,0,7,43%,0,1,1,2,0,0,14,10,16,0,0,2,6,0,0,0,0,115,8.85,0,0,2,50%,0,11,0.85,0,0,0,0,0,0,0,0,0,0,1,0,5,1
Jack Grealish,10,Aston-Villa,Midfielder,England,25,71,17,42,9,0.13,0,6,3,0,0,105,32,30%,2,6,0.08,0,0,0,45,71%,0,33,44,17,6,0,293,419,293,122,1.72,29,42,0,1,7,0.1,2098,29.55,12,0.17,202,23%,2,103,1.45,0,0,0,0,0,0,0,0,0,0,9,0,47,6
Marvelous Nakamba,19,Aston-Villa,Midfielder,Zimbabwe,26,29,7,16,0,29,0,0,0,0,0,7,1,14%,0,0,0,0,0,0,55,51%,0,0,39,32,7,0,155,115,110,14,0.48,23,29,0,1,0,0,782,26.97,0,0,4,4%,0,24,0.83,0,0,0,0,0,0,0,0,0,0,5,0,26,0
Conor Hourihane,14,Aston-Villa,Midfielder,Ireland,29,28,8,13,3,0.11,0,0,3,0,1,30,10,33%,1,1,0.04,0,0,0,16,63%,0,13,9,27,10,0,73,54,50,4,0.14,14,9,0,0,5,0.18,665,23.75,8,0.29,124,24%,1,22,0.79,0,0,0,0,0,0,0,0,0,0,4,0,15,4
Trézéguet,17,Aston-Villa,Midfielder,Egypt,25,35,9,19,6,0.17,0,5,1,0,0,52,17,33%,2,3,0.09,0,0,0,40,45%,0,22,27,14,9,0,80,134,175,30,0.86,32,48,0,0,1,0.03,388,11.09,0,0,73,16%,0,10,0.29,0,0,0,0,0,0,0,0,0,0,2,1,39,6
Anwar El Ghazi,21,Aston-Villa,Midfielder,Netherlands,25,34,7,19,4,0.12,0,4,0,1,0,52,20,38%,2,7,0.21,0,0,0,20,55%,0,11,13,12,6,0,75,97,151,29,0.85,31,57,0,0,4,0.12,479,14.09,4,0.12,107,24%,1,15,0.44,0,0,0,0,0,0,0,0,0,0,3,0,20,12
Jota,23,Aston-Villa,Midfielder,Spain,29,10,2,7,0,10,0,0,0,0,0,6,1,17%,0,0,0,0,0,0,3,33%,0,4,3,5,1,0,26,13,25,7,0.7,1,2,0,0,1,0.1,93,9.3,1,0.1,2,2%,2,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Jacob Ramsey,41,Aston-Villa,Midfielder,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
